_source_file,_row_index,_leaf_label,_leaf_id,_group_path,_text,_semantic_text,_dtype,_concept_label,_concept_score,_concept_source,_code_family,_facet_cond,_facet_task,_facet_variant,_facet_stat,_facet_outcome
HCP_S1200_DataDictionary_Oct_30_2023.csv,388,FS_R_Precuneus_Thck,FreeSurfer > Surface Thickness.FS_R_Precuneus_Thck,FreeSurfer > Surface Thickness,"category: FreeSurfer | assessment: Surface Thickness | columnHeader: FS_R_Precuneus_Thck | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Precuneus_cortex\"">Precuneus Cortex</a> | fullDisplayName: Right precuneus Average Thickness","Neurolex definition: <a href=\""  Cortex</a> Right precuneus Average Thickness",determine,Cortex Right Entorhinal,0.225,keybert,,No Condition,FreeSurfer,Surface Thickness,Mean,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,389,FS_R_Rostralanteriorcingulate_Thck,FreeSurfer > Surface Thickness.FS_R_Rostralanteriorcingulate_Thck,FreeSurfer > Surface Thickness,"category: FreeSurfer | assessment: Surface Thickness | columnHeader: FS_R_Rostralanteriorcingulate_Thck | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Rostral_anterior_cingulate_cortex\"">Rostral Anterior Cingulate Cortex</a> | fullDisplayName: Right rostralanteriorcingulate Average Thickness","Neurolex definition: <a href=\""  Anterior Cingulate Cortex</a> Right rostralanteriorcingulate Average Thickness",determine,Cortex Right Caudalanteriorcingulate,0.247,keybert,,No Condition,FreeSurfer,Surface Thickness,Mean,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,390,FS_R_Rostralmiddlefrontal_Thck,FreeSurfer > Surface Thickness.FS_R_Rostralmiddlefrontal_Thck,FreeSurfer > Surface Thickness,"category: FreeSurfer | assessment: Surface Thickness | columnHeader: FS_R_Rostralmiddlefrontal_Thck | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Rostral_middle_frontal_gyrus\"">Rostral Middle Frontal Gyrus</a> | fullDisplayName: Right rostralmiddlefrontal Average Thickness","Neurolex definition: <a href=\""  Middle Frontal Gyrus</a> Right rostralmiddlefrontal Average Thickness",determine,Gyrus Right Caudalmiddlefrontal,0.244,keybert,,No Condition,FreeSurfer,Surface Thickness,Mean,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,391,FS_R_Superiorfrontal_Thck,FreeSurfer > Surface Thickness.FS_R_Superiorfrontal_Thck,FreeSurfer > Surface Thickness,"category: FreeSurfer | assessment: Surface Thickness | columnHeader: FS_R_Superiorfrontal_Thck | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Superior_frontal_gyrus\"">Superior Frontal Gyrus</a> | fullDisplayName: Right superiorfrontal Average Thickness","Neurolex definition: <a href=\""  Frontal Gyrus</a> Right superiorfrontal Average Thickness",determine,Gyrus Right Caudalmiddlefrontal,0.244,keybert,,No Condition,FreeSurfer,Surface Thickness,Mean,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,392,FS_R_Superiorparietal_Thck,FreeSurfer > Surface Thickness.FS_R_Superiorparietal_Thck,FreeSurfer > Surface Thickness,"category: FreeSurfer | assessment: Surface Thickness | columnHeader: FS_R_Superiorparietal_Thck | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Superior_parietal_cortex\"">Superior Parietal Cortex </a> | fullDisplayName: Right superiorparietal Average Thickness","Neurolex definition: <a href=\""  Parietal Cortex </a> Right superiorparietal Average Thickness",determine,Cortex Right Entorhinal,0.225,keybert,,No Condition,FreeSurfer,Surface Thickness,Mean,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,393,FS_R_Superiortemporal_Thck,FreeSurfer > Surface Thickness.FS_R_Superiortemporal_Thck,FreeSurfer > Surface Thickness,"category: FreeSurfer | assessment: Surface Thickness | columnHeader: FS_R_Superiortemporal_Thck | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Superior_temporal_gyrus\"">Superior Temporal Gyrus</a> | fullDisplayName: Right superiortemporal Average Thickness","Neurolex definition: <a href=\""  Temporal Gyrus</a> Right superiortemporal Average Thickness",determine,Gyrus Right Precentral,0.19,keybert,,No Condition,FreeSurfer,Surface Thickness,Mean,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,394,FS_R_Supramarginal_Thck,FreeSurfer > Surface Thickness.FS_R_Supramarginal_Thck,FreeSurfer > Surface Thickness,"category: FreeSurfer | assessment: Surface Thickness | columnHeader: FS_R_Supramarginal_Thck | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Supramarginal_gyrus\"">Supramarginal Gyrus</a> | fullDisplayName: Right supramarginal Average Thickness","Neurolex definition: <a href=\""  Gyrus</a> Right supramarginal Average Thickness",determine,Gyrus Right Precentral,0.19,keybert,,No Condition,FreeSurfer,Surface Thickness,Mean,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,395,FS_R_Frontalpole_Thck,FreeSurfer > Surface Thickness.FS_R_Frontalpole_Thck,FreeSurfer > Surface Thickness,"category: FreeSurfer | assessment: Surface Thickness | columnHeader: FS_R_Frontalpole_Thck | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Frontal_pole\"">Frontal Pole</a> | fullDisplayName: Right frontalpole Average Thickness","Neurolex definition: <a href=\""  Pole</a> Right frontalpole Average Thickness",determine,Pole Right Frontalpole,0.189,keybert,,No Condition,FreeSurfer,Surface Thickness,Mean,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,396,FS_R_Temporalpole_Thck,FreeSurfer > Surface Thickness.FS_R_Temporalpole_Thck,FreeSurfer > Surface Thickness,"category: FreeSurfer | assessment: Surface Thickness | columnHeader: FS_R_Temporalpole_Thck | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Temporal_pole\"">Temporal Pole</a> | fullDisplayName: Right temporalpole Average Thickness","Neurolex definition: <a href=\""  Pole</a> Right temporalpole Average Thickness",determine,Pole Right Frontalpole,0.189,keybert,,No Condition,FreeSurfer,Surface Thickness,Mean,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,397,FS_R_Transversetemporal_Thck,FreeSurfer > Surface Thickness.FS_R_Transversetemporal_Thck,FreeSurfer > Surface Thickness,"category: FreeSurfer | assessment: Surface Thickness | columnHeader: FS_R_Transversetemporal_Thck | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Transverse_temporal_cortex\"">Transverse Temporal Cortex</a> | fullDisplayName: Right transversetemporal Average Thickness","Neurolex definition: <a href=\""  Temporal Cortex</a> Right transversetemporal Average Thickness",determine,Cortex Right Transversetemporal,0.248,keybert,,No Condition,FreeSurfer,Surface Thickness,Mean,Other
